nom_subestacao_de,nom_subestacao_para,val_niveltensao_kv,val_comprimento,val_resistencia,val_reatancia,val_shunt,val_capacoperlongasemlimit,val_capacoperlongacomlimit,val_capacopercurtasemlimit,val_capacopercurtacomlimit
GUIL AMORIM-SE,NOVA ERA 2,230,17.82,0.34,1.73,3.06,760.61,760.61,890,890
IPATINGA 1,MESQUITA,230,3.4,0.06,0.33,0.597,876,876,1200,1200
IPATINGA 1,MESQUITA,230,3.18,0.054,0.266,0.549,876,876,1200,1200
IPATINGA 1,PORTO ESTRELA,230,43.84,0.83,4.2,7.56,761,761,891,891
IPATINGA 1,TIMOTEO 2,230,13.36,0.258,1.296,2.311,627.57,627.57,627.57,627.57
IRAPE-SE,JANAUBA 3,230,130,1.008,8.647,32.24,1505,1505,1810,1810
ITABIRA 2,ITABIRA 5,230,17.57,0.236,1.614,3.149,889,889,1066,1066
ITABIRA 2,ITABIRA 5,230,21,0.239,1.605,3.225,890,890,1200,1200
ITABIRA 2,ITABIRA 5,230,18.5,0.311,1.702,3.1,765,765,895,895
ITABIRA 2,J.MONLEVADE 4,230,29.1,0.536,2.733,5.118,765,765,895,895
ITABIRA 2,NOVA ERA 2,230,23.22,0.45,2.24,3.979,760.61,760.61,890,890
ITABIRA 4,ITABIRA 5,230,5.58,0.105,0.509,0.984,765,765,895,895
ITABIRA 4,TAQUARIL,230,81.519,1.492,7.712,14.23,765,765,895,895
ITABIRA 5,SABARA 3,230,55.75,1.001,5.505,9.9,765,765,895,895
ITUMBIARA,C. DOURADA,230,44,0.66,4.26,7.57,649,649,817,817
ITUMBIARA,RIO VERDE FUR,230,208,4.1,19.76,36.08,528,528,665,665
ITUMBIARA,RIO VERDE FUR,230,202,1.27,13.62,49.47,1428,1200,1799,1200
J.MONLEVADE 2,J.MONLEVADE 4,230,4.49,0.072,0.366,0.686,765,765,895,895
JANAUBA 3,JAIBA,230,93,0.639,5.533,20.24,1450,1450,2105,2105
JANAUBA 3,JAIBA,230,93,0.639,5.533,20.24,1450,1450,2105,2105
MESQUITA,PORTO ESTRELA,230,41.6,0.8,3.98,7.198,761,761,891,891
MESQUITA,TIMOTEO 2,230,24,0.368,2.243,4.194,905,905,1055,1055
SABARA 3,TAQUARIL,230,14.68,0.28,1.54,2.737,765,765,895,895
TAQUARIL,BARAO COCAIS3,230,46.03,0.884,4.45,8.39,765,765,895,895
ANASTACIO,CORUMBA 2,230,277,2.073,15.965,79.61,1630,1630,1990,1990
ANASTACIO,CORUMBA 2,230,277,2.073,15.965,79.61,1630,1630,1990,1990
ANASTACIO,DOURADOS,230,208,2.445,17.235,42.87,883,800,1086,800
ANASTACIO,SIDROLANDIA 2,230,105.1,0.99,6.759,26.65,1400,1400,1720,1720
CAMPO GRANDE2,IMBIRUSSU,230,50,0.391,3.578,12.32,1620,1620,1990,1990
CAMPO GRANDE2,IMBIRUSSU,230,57,0.399,3.408,12.997,1680,1680,2065,2065
CAMPO GRANDE2,PARAISO 2,230,231.76,1.754,15.092,59,1990,1990,1620,1620
CAMPO GRANDE2,PARAISO 2,230,230,1.663,14.209,54.3,1620,1620,1990,1990
CAMPO GRANDE2,RIO BRILHANTE,230,149,1.131,9.661,37.17,1680,1680,2065,2065
CHAPADAO,INOCENCIA,230,134.08,1.003,7.649,39.44,1770,1770,2180,2180
CHAPADAO,INOCENCIA,230,134.08,1.003,7.649,39.44,1770,1770,2180,2180
CHAPADAO,INOCENCIA,230,134.11,1.003,7.649,39.44,1770,1770,2180,2180
CHAPADAO,JATAI,230,128,1.264,9.238,34.37,1400,1400,1720,1720
CHAPADAO,JATAI,230,128,1.264,9.238,34.37,1400,1400,1720,1720
CHAPADAO,PARAISO 2,230,63.47,0.494,4.17,16.1,1990,1990,1620,1620
CHAPADAO,PARAISO 2,230,65,0.511,4.305,16.2,1620,1620,1990,1990
DOURADOS,DOURADOS 2,230,47.7,0.368,3.103,12,1680,1680,2065,2065
DOURADOS,DOURADOS 2,230,48,0.367,3.127,11.9,1680,1680,2065,2065
DOURADOS,GUAIRA,230,225.9,2.686,18.182,46.6,848,848,948,948
